OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area
62,"(4718105.975669932, 2254886.1612454)",0205-4,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,34.54729470002694,58.23085438190974

63,"(4717832.3156068325, 2254917.364084654)",0205-5,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,184.20614671061432,586.539346920298

64,"(4717741.330851997, 2254965.600664607)",0205-6,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,49.80923372158535,119.06738173037625

65,"(4717283.562864327, 2254968.435580749)",0205-7,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,96.32900093179826,264.8842262329265

66,"(4717653.82130533, 2254976.4019630468)",0205-8,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,39.68481772224423,87.52549095428705

67,"(4717217.41950928, 2255153.7211425765)",0205-10,La Francia,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,364.0626161401874,2783.912300995419

68,"(4717613.638102762, 2254694.931628104)",0205-12,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,84.81728346878066,170.8395258136588

69,"(4717881.439549826, 2247732.0433674827)",0908-1,Miraflores,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,176.57550683063863,595.1429322335755

70,"(4717637.953738713, 2247813.8176002936)",0908-2,Miraflores,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,99.37101219540047,281.94707537173747

71,"(4717818.475309545, 2248049.060811618)",0908-3,Miraflores,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,630.9484164754267,2913.669259532798

72,"(4717712.431604545, 2248165.355034117)",0908-4,Miraflores,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,295.6062326591598,1192.107126446996

73,"(4716675.351005052, 2249825.208933789)",1017-1,Los �ngeles,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,220.36575196342588,1251.15100872208

74,"(4712416.901515392, 2248338.826221767)",1109-1,Las Acacias,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,196.14439667668023,1300.5604827414734

75,"(4712863.326943379, 2254111.7524076044)",0713-1,Aures No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,683.1764615836946,2181.62305679881

76,"(4717902.600984409, 2247703.155437431)",0909-1,Catalu�a,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,29.122596375905534,42.88001858594929

77,"(4710779.489718754, 2248400.609391518)",1110-1,La Castellana,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,560.0401184608515,2724.7210703292676

78,"(4716144.29096437, 2253139.149154576)",0405-4,Moravia,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,555.3126942678298,9377.039755859618

79,"(4710315.160114602, 2249651.17481912)",1310-2,Veinte de Julio,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,140.96638540743965,435.4079834490008

80,"(4716949.58649688, 2254284.7713378128)",0208-1,Villa Niza,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,115.19241925231677,252.38897999628304

81,"(4712931.197900001, 2249076.9357666685)",1108-1,Laureles,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,43.6016365373946,38.519888863832925

82,"(4714336.025883592, 2254053.6703787474)",0608-1,Picacho,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,45.79457970754654,121.23489803862688

83,"(4717056.951394597, 2251048.3458891166)",0409-1,Manrique Central No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,131.48772309493802,460.9657286009838

84,"(4716944.135907352, 2251107.901850057)",0409-2,Manrique Central No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,83.08301376891774,299.90388084566945

85,"(4717301.261146934, 2251254.678313362)",0409-3,Manrique Central No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,428.3282433708328,2146.3379906973455

86,"(4717017.857689004, 2251243.659483002)",0409-4,Manrique Central No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,300.20786933278794,1363.2723158790682

87,"(4717128.76388081, 2251467.659611023)",0409-5,Manrique Central No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,72.39068720869525,286.445534233054

88,"(4717854.379848848, 2254041.6268831366)",0209-2,Mosc� No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,66.0775768798415,129.58295449814133

89,"(4717394.193544316, 2254065.276455343)",0209-3,Mosc� No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,23.089287047379987,24.089812407561265

90,"(4717797.109740597, 2254067.9982354394)",0209-4,Mosc� No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,105.30377254253351,170.26606929481363

91,"(4717519.070610591, 2254087.3180235815)",0209-5,Mosc� No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,46.535917825517274,74.80514568444038

92,"(4718335.425569418, 2251614.1603509905)",0305-1,El Raizal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,63.44767010383237,99.6360288340075

93,"(4711830.738186128, 2246843.725636911)",1614-1,La Palma,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,142.7631781736649,810.861000783718

94,"(4718512.903880847, 2254150.6261431)",0104-3,Granizal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,25.574837813104352,36.24292926440129

95,"(4718438.810019645, 2254176.573246699)",0104-4,Granizal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,44.404106765931544,49.37255204535897

96,"(4718736.157554082, 2253701.0465528346)",0104-5,Granizal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,61.52762462246591,145.0560227741026

97,"(4716682.303207842, 2247427.325538516)",0912-1,El Salvador,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,69.21401331442215,251.48694965250348

98,"(4716706.722085662, 2247957.49210699)",0912-3,El Salvador,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,92.38560619878781,352.65399406536824

99,"(4718335.631439475, 2251617.783303407)",0304-1,Santa In�s,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,63.374093745021334,91.51921980981176

100,"(4718514.419176916, 2251614.131330625)",0304-2,Santa In�s,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,103.64641947055189,265.00513536485505

101,"(4717164.911080987, 2247767.1389724477)",0910-1,La Milagrosa,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,125.62194106108262,798.5500635582717

102,"(4716686.556292197, 2254219.201075538)",0210-8,Belalc�zar,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,128.81489204036424,489.2265478003557

