OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area
57,"(4719920.537415346, 2247266.339498545)",0815-20,Las Estancias,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,534.027561616238,3953.608902116398

58,"(4714220.191565511, 2255256.334770735)",0610-1,Mirador del Doce,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,875.6269044219807,10877.125962294509

59,"(4714081.1024987055, 2255453.1058624415)",0612-2,El Triunfo,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,400.9942571449362,6425.06687804139

60,"(4720743.203665834, 2246894.440623714)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,946.2410946076553,21193.510724908425

61,"(4702012.534005655, 2262045.927036074)",5003-5,Urquit�,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,2577.5409460610517,318097.12560778303

62,"(4701589.559252426, 2262229.7362189093)",5003-3,Urquit�,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,318.52229268700967,7337.720123767896

63,"(4720447.954201742, 2246887.0320082023)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,186.84342253344596,1691.0497079563663

64,"(4720019.524196982, 2247819.12616243)",0816-3,Villa Turbay,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1279.75987298838,15778.656780711646

65,"(4720419.116447927, 2246857.5447206013)",9001-5,Las Palmas,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,40.24443928338204,105.17342706035666

66,"(4720404.91245083, 2246848.8842911404)",9001-5,Las Palmas,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,33.33139513250902,69.8417403965677

67,"(4719165.8219156815, 2254588.874412998)",0102-2,Santo Domingo Savio No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,657.4558802116728,10554.955380805564

68,"(4718450.94641094, 2252818.9925131644)",0302-3,Las Granjas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,201.23740880271185,1465.504109990301

69,"(4720411.4310231395, 2246852.9089959604)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,36.54758280553227,90.30834976430985

70,"(4720381.934030946, 2246814.324114265)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,44.24495117752322,137.58409225396414

71,"(4720456.590868309, 2247025.765430457)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,184.35694362101015,1332.0324033072216

72,"(4720483.752891112, 2246964.608898023)",9001-5,Las Palmas,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,116.81051336740664,420.59686813006203

73,"(4720480.931453716, 2246913.3630434903)",9001-5,Las Palmas,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,86.49186371113527,436.2543263453162

74,"(4720370.275360328, 2246968.5745861433)",9001-5,Las Palmas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1.8215925491428977,0.004116180272482034

75,"(4720370.043357114, 2246971.2154788487)",9001-5,Las Palmas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2.802083171598966,0.011773400303831696

76,"(4710852.871751889, 2251845.8527653464)",0722-2,Olaya Herrera,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,3142.4139778036606,147923.9050103914

77,"(4719186.22862735, 2247991.2941586166)",0814-20,San Antonio,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,344.100889176467,5461.281732025435

78,"(4714574.0167762395, 2253844.773785309)",0607-8,Kennedy,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,107.1629283582818,827.0327984151043

79,"(4720394.757594943, 2247647.997280026)",0817-10,La Sierra,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,737.2835408695214,21780.41082195364

80,"(4718942.08662177, 2252437.853577904)",0313-1,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1099.155843648293,24202.611912994435

81,"(4719069.67478994, 2252785.632568536)",0313-2,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,355.11962214870715,6750.1304724555575

82,"(4719196.693624053, 2252848.203566149)",0313-3,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,557.9206542503345,13154.538628123488

83,"(4718913.77220514, 2252855.385401053)",0313-4,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,810.1896990427651,23036.873170773135

84,"(4719421.809734637, 2253109.7809153227)",0313-5,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,378.8558226628344,4890.425495828077

85,"(4718908.256121333, 2253135.7578827664)",0313-6,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,204.6964695034528,1838.1252315148613

86,"(4719315.834788911, 2253012.661005681)",0313-7,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,892.8410836403057,19189.07775783177

87,"(4719121.252984069, 2253201.4306331286)",0313-8,Mar�a Cano-Carambolas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,868.5315105680081,11655.23368134986

88,"(4719072.158216697, 2249504.378201932)",0806-10,Llanaditas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,910.5780817458212,14599.797314632631

89,"(4717088.914713897, 2253633.465546661)",0211-1,La Rosa,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,31.05068076343209,5.4455629278548185

90,"(4717812.845640186, 2244003.5380986147)",1409-1,El Tesoro,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,375.4004808797074,3752.068408255186

91,"(4720509.322733334, 2247026.619433334)",0901-2,Juan Pablo II,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1.2409365019969825,0.0540522347329402

92,"(4718936.6482684, 2253311.205861831)",0109-1,Aldea Pablo VI,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,694.4260720757335,8356.374181029549

93,"(4718782.830730174, 2253475.5520687043)",0109-2,Aldea Pablo VI,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,177.9221421847281,908.7600098964443

94,"(4718930.974687708, 2253613.3013396715)",0109-3,Aldea Pablo VI,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,322.75758772101415,2469.8018436945017

95,"(4718779.659760799, 2253666.5481685055)",0109-4,Aldea Pablo VI,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,202.15229235032183,2184.5385675815032

96,"(4719473.549227675, 2247776.0896563265)",0814-24,San Antonio,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,459.63945654228166,2610.9703060784404

97,"(4720213.287801373, 2247254.1947309575)",0815-17,Las Estancias,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,201.5916694228191,2571.626185657422

98,"(4716947.877270328, 2254000.5880827913)",0210-6,Santa Cruz,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,384.37332587361493,10397.624830011524

99,"(4720155.647732796, 2247963.2184772515)",0816-6,Villa Turbay,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,1892.410382797502,151725.81435293515

100,"(4709870.999802444, 2248823.0403285413)",1312-1,Betania,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,258.00243771829497,1409.4904450692873

101,"(4718826.782370774, 2249529.632357828)",0807-10,Los Mangos,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,347.25100005510075,3370.8298451277647

102,"(4714117.85144647, 2253495.00581554)",0607-6,Kennedy,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,175.72258233690664,987.9636439498786

103,"(4714005.946255467, 2253605.4459727095)",0607-7,Kennedy,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,246.21161457357607,3442.8241688988637

104,"(4711481.8894949695, 2252013.743214171)",0722-1,Olaya Herrera,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,243.97199045834725,3269.3913905827176

105,"(4718971.927456124, 2249303.1961442623)",0806-16,Llanaditas,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,784.9724830853319,20298.97339227813

106,"(4718474.94023363, 2248896.6699958006)",0810-6,El Pinal,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,558.9432049513393,9952.946995199523

107,"(4718515.47354529, 2248943.7346395007)",0810-4,El Pinal,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,183.76484953457333,1727.948432970328

108,"(4718607.119652901, 2249145.4747238206)",0807-6,Los Mangos,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,449.0538086184373,3711.159221558173

109,"(4718696.360242985, 2249068.957225632)",0810-5,El Pinal,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,387.7979083425017,1417.084560976374

110,"(4718673.989318501, 2249062.8730447073)",0810-4,El Pinal,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,470.7416891670117,5971.649599656937

111,"(4719715.463768449, 2247548.838756045)",0819-16,Villa Lilliam,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,662.0226457876315,10197.554209846066

112,"(4719772.3631283045, 2247577.3370454116)",0819-15,Villa Lilliam,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,1277.5661908094846,11683.804282049114

113,"(4720626.20653822, 2247656.5009342576)",9002-15,Media Luna,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,97.66960565083473,349.8493668232623

114,"(4720347.899515561, 2247219.2429288863)",0815-7,Media Luna,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,299.4667436894432,3924.433681596669

115,"(4720191.152564167, 2248225.4855197766)",9002-11,Media Luna,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,1691.7861740354817,65025.461875304914

